email,name,organisation,role,contact_type,tags
courseinfo@edinburghcollege.ac.uk,,Edinburgh College,Electrical Department,college,"edinburgh,scotland"
info@glasgowclyde.ac.uk,,Glasgow Clyde College,Electrical Department,college,"glasgow,scotland"
enquiries@cityofglasgowcollege.ac.uk,,City of Glasgow College,Electrical Department,college,"glasgow,scotland"
info@forthvalley.ac.uk,,Forth Valley College,Electrical Department,college,"falkirk,scotland"
info@fife.ac.uk,,Fife College,Electrical Department,college,"glenrothes,scotland"
enquiry@dundeeandangus.ac.uk,,Dundee and Angus College,Electrical Department,college,"dundee,scotland"
enquiry@nescol.ac.uk,,North East Scotland College,Enquiries,college,"aberdeen,scotland"
info@ayrshire.ac.uk,,Ayrshire College,Electrical Department,college,"ayr,scotland"
info@wcs.ac.uk,,West College Scotland,Electrical Department,college,"clydebank,scotland"
admissions@slc.ac.uk,,South Lanarkshire College,Electrical Department,college,"east kilbride,scotland"
enquiries@borderscollege.ac.uk,,Borders College,Electrical Department,college,"galashiels,scotland"
info@dumgal.ac.uk,,Dumfries and Galloway College,Electrical Department,college,"dumfries,scotland"
info@inverness.uhi.ac.uk,,Inverness College UHI,Electrical Department,college,"inverness,scotland"
shortcourses.perth@uhi.ac.uk,,Perth College UHI,Electrical Department,college,"perth,scotland"
admin@sectt.org.uk,,Scottish Electrical Charitable Training Trust (SECTT),Enquiries,training_provider,"edinburgh,scotland"
enquiries@cymoedd.ac.uk,,Coleg y Cymoedd,Electrical Department,college,"rhondda cynon taf,wales"
enquiries@gcs.ac.uk,,Gower College Swansea,Electrical Department,college,"swansea,wales"
admissions@pembrokeshire.ac.uk,,Pembrokeshire College,Electrical Department,college,"haverfordwest,wales"
enquiries@nptcgroup.ac.uk,,NPTC Group of Colleges,Electrical Department,college,"neath,wales"
enquiries@cambria.ac.uk,,Coleg Cambria,Electrical Department,college,"wrexham,wales"
enquiries.llandrillo@gllm.ac.uk,,Grwp Llandrillo Menai - Coleg Llandrillo,Electrical Department,college,"rhos-on-sea,wales"
learnerservices.menai@gllm.ac.uk,,Grwp Llandrillo Menai - Coleg Menai,Electrical Department,college,"bangor,wales"
info@cavc.ac.uk,,Cardiff and Vale College,Electrical Department,college,"cardiff,wales"
hello@bridgend.ac.uk,,Bridgend College,Electrical Department,college,"bridgend,wales"
enquiries@merthyr.ac.uk,,The College Merthyr Tydfil,Electrical Department,college,"merthyr tydfil,wales"
studentportal@belfastmet.ac.uk,,Belfast Metropolitan College,Electrical Department,college,"belfast,northern_ireland"
info@serc.ac.uk,,South Eastern Regional College,Electrical Department,college,"newtownards,northern_ireland"
admissions@nrc.ac.uk,,Northern Regional College,Electrical Department,college,"ballymena,northern_ireland"
enquiries@swc.ac.uk,,South West College,Electrical Department,college,"omagh,northern_ireland"
info@nwrc.ac.uk,,North West Regional College,Electrical Department,college,"derry,northern_ireland"
info@src.ac.uk,,Southern Regional College,Electrical Department,college,"newry,northern_ireland"
info@jtltraining.com,,JTL Training,Enquiries,training_provider,"orpington,england,uk_wide"
admissions@jtltraining.com,,JTL Training,Admissions,training_provider,"orpington,england,uk_wide"
info@bpec.org.uk,,BPEC,Enquiries,training_provider,"derby,england,uk_wide"
info@netservices.org.uk,,National Electrotechnical Training (NET),Enquiries,training_provider,"london,england,uk_wide"
ncc@citb.co.uk,,CITB National Construction College,Enquiries,training_provider,"bircham norfolk,england,uk_wide"
information@ccn.ac.uk,,City College Norwich,Electrical Department,college,"norwich,england,east_anglia"
info@colchester.ac.uk,,Colchester Institute,Electrical Department,college,"colchester,england,east_anglia"
info@easterneducationgroup.ac.uk,,West Suffolk College (Eastern Education Group),Electrical Department,college,"bury st edmunds,england,east_anglia"
admissions@chelmsford.ac.uk,,Chelmsford College,Electrical Department,college,"chelmsford,england,east_anglia"
admissions@westherts.ac.uk,,West Herts College,Electrical Department,college,"watford,england,home_counties"
enquiries@nhc.ac.uk,,North Hertfordshire College,Electrical Department,college,"hitchin,england,home_counties"
info@hrc.ac.uk,,Hertford Regional College,Electrical Department,college,"hertford,england,home_counties"
info@oaklands.ac.uk,,Oaklands College,Electrical Department,college,"st albans,england,home_counties"
admin@heta.co.uk,,Humberside Engineering Training Association (HETA),Electrical Department,training_provider,"hull,england,east_yorkshire"
enquiries@seta.co.uk,,SETA (Sunderland Engineering Training Association),Electrical Department,training_provider,"sunderland,england,north_east"
gto@ecta.co.uk,,Essex Construction Training Association (ECTA),Electrical Department,training_provider,"essex,england,east_anglia"
emma@hwgta.org,,Herefordshire and Worcestershire Group Training Association (HWGTA),Enquiries,training_provider,"hereford,england,west_midlands"
duncan@nsegta.co.uk,,North Staffordshire Engineering Group Training Association (NSEG),Enquiries,training_provider,"stoke-on-trent,england,west_midlands"
