email,name,organisation,role,contact_type,tags
customer.services@cwc.ac.uk,Customer Services,City of Westminster College,Enquiries,college,"London, Westminster"
info@bdc.ac.uk,Enquiries,Barking & Dagenham College,Enquiries,college,"London, Barking & Dagenham"
info@ncclondon.ac.uk,Customer Service Centre,New City College,Enquiries,college,"London, East London, Hackney, Tower Hamlets, Havering"
communications@lsec.ac.uk,Communications,London South East Colleges,Enquiries,college,"London, Bromley, Greenwich, Bexley, South East"
info@lewisham.ac.uk,Enquiries,Lewisham College,Enquiries,college,"London, Lewisham, South East"
info@southbankcolleges.ac.uk,Enquiries,South Bank Colleges (Lambeth College),Enquiries,college,"London, Lambeth, South London"
advice.wandsworth@stcg.ac.uk,Student Advice,South Thames College (Wandsworth),Enquiries,college,"London, Wandsworth, South West London"
info@croydon.ac.uk,Enquiries,Croydon College,Enquiries,college,"London, Croydon, South London"
info@kingston-college.ac.uk,Enquiries,Kingston College,Enquiries,college,"London, Kingston upon Thames, South West London"
Admissions.Carshalton@stcg.ac.uk,Admissions,Carshalton College,Enquiries,college,"London, Carshalton, Surrey"
enquiries@uxbridgecollege.ac.uk,Enquiries,Uxbridge College,Enquiries,college,"London, Hillingdon, West London"
info@west-thames.ac.uk,Enquiries,West Thames College,Enquiries,college,"London, Isleworth, Hounslow"
enquiries@cnwl.ac.uk,Enquiries,College of North West London,Enquiries,college,"London, Willesden, Wembley, North West London"
admissions@wlc.ac.uk,Admissions,West London College,Enquiries,college,"London, Hammersmith, Ealing, West London"
enquiries-brighton@gbmc.ac.uk,Enquiries,Brighton MET College,Enquiries,college,"Brighton, South East"
info@chichester.ac.uk,Enquiries,Chichester College,Enquiries,college,"Chichester, West Sussex, South East"
adviceteam@nescot.ac.uk,Advice Team,Nescot (North East Surrey College of Technology),Enquiries,college,"Epsom, Surrey, South East"
clientservices@esc.ac.uk,Client Services,East Surrey College,Enquiries,college,"Redhill, Surrey, South East"
info@guildford.ac.uk,Enquiries,Guildford College,Enquiries,college,"Guildford, Surrey, South East"
info@farn-ct.ac.uk,Enquiries,Farnborough College of Technology,Enquiries,college,"Farnborough, Hampshire, South East"
nextyear@bcot.ac.uk,Course Enquiries,Basingstoke College of Technology,Enquiries,college,"Basingstoke, Hampshire, South East"
enquiries@southampton-city.ac.uk,Enquiries,City College Southampton,Enquiries,college,"Southampton, Hampshire, South East"
goplaces@eastleigh.ac.uk,Enquiries,Eastleigh College (South Hampshire College Group),Enquiries,college,"Eastleigh, Hampshire, South East"
learning@southessex.ac.uk,Enquiries,South Essex College,Enquiries,college,"Southend, Essex, South East"
info@colchester.ac.uk,Enquiries,Colchester Institute,Enquiries,college,"Colchester, Essex, South East"
info@hrc.ac.uk,Information Team,Hertford Regional College,Enquiries,college,"Hertford, Hertfordshire, South East"
course.enquiries@midkent.ac.uk,Course Enquiries,MidKent College,Enquiries,college,"Maidstone, Kent, South East"
canterbury.reception@eastkent.ac.uk,Reception,Canterbury College (EKC Group),Enquiries,college,"Canterbury, Kent, South East"
enquiries@reading-college.ac.uk,Enquiries,Reading College (Activate Learning),Enquiries,college,"Reading, Berkshire, South East"
enquiries@cityofoxford.ac.uk,Enquiries,City of Oxford College (Activate Learning),Enquiries,college,"Oxford, Oxfordshire, South East"
enquiries@bpc.ac.uk,Enquiries,Bournemouth & Poole College,Enquiries,college,"Bournemouth, Poole, Dorset, South West"
enquiries@weston.ac.uk,Enquiries,Weston College,Enquiries,college,"Weston-super-Mare, Somerset, South West"
